month_start,region,category,sub_category,total_sales,order_lines,unique_customers,avg_ship_delay_days
2015-08-01,East,Furniture,Tables,853.09,1,1,4.0
2016-02-01,Central,Furniture,Furnishings,69.18,2,2,2.0
2016-10-01,Central,Furniture,Tables,347.36,1,1,6.0
2018-09-01,Central,Furniture,Bookcases,1067.13,2,2,2.0
2015-09-01,South,Office Supplies,Paper,137.49,5,4,5.4
2015-10-01,West,Office Supplies,Fasteners,20.72,3,3,3.6666666666666665
2018-05-01,East,Office Supplies,Binders,1129.16,9,7,4.555555555555555
2017-01-01,West,Office Supplies,Art,74.26,2,2,4.5
2018-06-01,South,Technology,Phones,3817.79,7,5,5.714285714285714
2017-06-01,West,Furniture,Furnishings,297.22,3,3,4.0
2017-07-01,Central,Office Supplies,Storage,2885.84,6,5,4.833333333333333
2015-11-01,South,Furniture,Furnishings,919.10,3,3,4.0
2017-08-01,West,Office Supplies,Storage,17.94,1,1,7.0
2015-07-01,West,Office Supplies,Storage,1431.50,7,7,3.5714285714285716
2017-06-01,West,Furniture,Bookcases,838.84,2,2,1.0
2018-03-01,South,Office Supplies,Storage,392.70,2,2,3.0
2017-03-01,Central,Technology,Machines,287.91,1,1,5.0
2017-05-01,West,Office Supplies,Fasteners,5.94,1,1,5.0
2016-07-01,South,Furniture,Chairs,70.98,1,1,6.0
2017-03-01,West,Office Supplies,Appliances,312.82,2,2,3.0
2015-12-01,East,Office Supplies,Storage,1630.57,6,6,4.333333333333333
2016-04-01,South,Technology,Phones,1327.56,3,3,4.666666666666667
2015-09-01,West,Furniture,Tables,2422.74,2,2,3.5
2018-05-01,East,Office Supplies,Fasteners,11.29,2,2,2.5
2016-08-01,West,Office Supplies,Binders,226.41,8,7,3.25
2015-11-01,Central,Furniture,Tables,1510.84,2,2,4.0
2017-06-01,Central,Furniture,Furnishings,545.33,7,5,4.571428571428571
2016-05-01,West,Office Supplies,Storage,2204.58,6,6,4.5
2018-09-01,West,Office Supplies,Labels,156.80,4,4,4.0
2017-05-01,South,Office Supplies,Supplies,69.50,1,1,0.0
2017-04-01,Central,Office Supplies,Binders,1138.92,3,3,4.666666666666667
2018-10-01,Central,Office Supplies,Appliances,61.19,3,2,2.6666666666666665
2017-08-01,West,Technology,Machines,943.15,2,2,5.5
2015-05-01,Central,Office Supplies,Fasteners,5.47,1,1,1.0
2015-12-01,South,Furniture,Furnishings,29.46,1,1,2.0
2016-04-01,South,Technology,Accessories,106.50,1,1,1.0
2017-05-01,East,Office Supplies,Envelopes,36.22,2,2,5.5
2015-10-01,East,Office Supplies,Storage,902.08,5,5,4.0
2018-11-01,West,Office Supplies,Storage,3051.98,13,12,4.3076923076923075
2016-09-01,East,Office Supplies,Appliances,612.53,5,5,4.8
2016-10-01,West,Office Supplies,Envelopes,251.67,4,4,4.5
2017-03-01,Central,Office Supplies,Supplies,3930.07,1,1,5.0
2017-04-01,East,Office Supplies,Paper,730.22,6,5,3.1666666666666665
2018-06-01,East,Office Supplies,Appliances,17.48,1,1,4.0
2015-08-01,Central,Office Supplies,Envelopes,38.34,1,1,4.0
2015-10-01,South,Technology,Accessories,46.43,2,2,1.0
2018-04-01,Central,Technology,Accessories,299.06,3,3,1.3333333333333333
2016-08-01,West,Technology,Phones,3057.41,5,4,5.8
2015-03-01,East,Office Supplies,Supplies,18.62,1,1,3.0
2015-08-01,South,Technology,Phones,758.33,2,2,4.5
2018-11-01,West,Furniture,Tables,7368.18,7,6,3.0
2016-11-01,Central,Office Supplies,Storage,3755.17,13,11,4.384615384615385
2018-08-01,West,Furniture,Chairs,1395.73,4,4,3.0
2017-08-01,East,Office Supplies,Storage,1645.24,2,2,3.5
2016-02-01,East,Office Supplies,Storage,77.24,1,1,4.0
2016-11-01,Central,Office Supplies,Supplies,49.64,2,2,3.0
2015-12-01,West,Furniture,Bookcases,254.97,1,1,2.0
2015-02-01,South,Office Supplies,Labels,15.00,1,1,3.0
2017-10-01,East,Office Supplies,Labels,29.83,2,2,5.0
2015-11-01,South,Technology,Phones,1669.74,4,3,4.75
2018-07-01,West,Office Supplies,Art,132.79,5,4,3.2
2018-07-01,South,Office Supplies,Art,135.54,4,3,4.0
2016-09-01,West,Office Supplies,Envelopes,154.48,3,3,5.666666666666667
2016-12-01,East,Technology,Machines,2762.32,3,3,3.3333333333333335
2017-07-01,West,Technology,Accessories,818.37,2,2,3.5
2016-07-01,Central,Technology,Phones,2905.90,6,4,5.5
2015-01-01,East,Office Supplies,Paper,37.41,1,1,5.0
2018-09-01,Central,Office Supplies,Fasteners,72.45,3,3,3.6666666666666665
2015-09-01,Central,Office Supplies,Fasteners,19.21,2,2,5.5
2018-01-01,Central,Office Supplies,Fasteners,15.12,1,1,3.0
2018-11-01,Central,Office Supplies,Art,543.28,11,11,4.0
2015-07-01,East,Office Supplies,Appliances,39.48,1,1,6.0
2017-07-01,West,Technology,Phones,1057.19,9,8,3.4444444444444446
2018-06-01,Central,Office Supplies,Paper,422.85,11,11,3.6363636363636362
2016-12-01,South,Furniture,Chairs,381.34,2,2,3.5
2015-12-01,Central,Office Supplies,Binders,1367.18,9,9,3.4444444444444446
2015-12-01,South,Office Supplies,Envelopes,23.47,1,1,5.0
2017-08-01,Central,Office Supplies,Storage,780.40,4,4,5.25
2017-05-01,West,Technology,Accessories,597.37,5,5,3.4
2018-10-01,Central,Office Supplies,Art,210.45,8,8,4.125
2017-04-01,South,Office Supplies,Paper,264.32,6,6,4.666666666666667
2018-09-01,East,Office Supplies,Art,220.66,12,11,3.25
2017-12-01,South,Office Supplies,Storage,1210.09,3,3,2.0
2017-06-01,Central,Office Supplies,Appliances,73.09,2,2,4.0
2016-09-01,Central,Furniture,Furnishings,57.32,4,4,3.5
2015-08-01,South,Office Supplies,Appliances,426.41,3,3,3.3333333333333335
2017-07-01,South,Office Supplies,Paper,400.50,5,5,2.8
2018-12-01,West,Furniture,Tables,4274.46,5,5,3.8
2016-05-01,West,Office Supplies,Supplies,35.06,1,1,5.0
2015-03-01,South,Office Supplies,Fasteners,18.94,1,1,5.0
2016-11-01,West,Office Supplies,Binders,679.88,15,12,3.533333333333333
2017-07-01,East,Office Supplies,Paper,337.76,6,6,2.6666666666666665
2015-09-01,West,Office Supplies,Labels,68.44,2,2,4.5
2017-11-01,West,Office Supplies,Art,307.35,6,6,2.6666666666666665
2018-08-01,South,Office Supplies,Envelopes,17.66,2,2,4.0
2015-03-01,East,Office Supplies,Fasteners,10.46,1,1,5.0
2018-12-01,South,Office Supplies,Appliances,640.00,4,4,5.25
2018-12-01,South,Office Supplies,Envelopes,190.76,2,2,3.5
2017-11-01,South,Office Supplies,Fasteners,30.74,2,2,2.5
2015-05-01,South,Office Supplies,Art,6.56,1,1,4.0
2017-01-01,Central,Technology,Phones,1620.93,2,2,4.5
2015-06-01,South,Office Supplies,Binders,1.37,1,1,6.0
2016-10-01,West,Office Supplies,Binders,578.65,8,6,3.375
2015-10-01,West,Furniture,Tables,1441.98,2,2,3.5
2018-07-01,Central,Technology,Accessories,949.67,3,3,2.6666666666666665
2017-07-01,East,Technology,Phones,1385.30,5,4,4.6
2015-04-01,East,Office Supplies,Supplies,10.30,1,1,2.0
2016-03-01,West,Technology,Accessories,459.46,3,3,3.0
2018-06-01,East,Office Supplies,Labels,9.82,1,1,7.0
2017-05-01,South,Office Supplies,Storage,1452.35,2,2,4.0
2018-11-01,Central,Office Supplies,Envelopes,83.08,3,3,4.666666666666667
2018-09-01,East,Furniture,Chairs,8960.60,13,9,3.923076923076923
2016-03-01,West,Office Supplies,Paper,868.75,10,9,3.9
2018-11-01,South,Office Supplies,Paper,559.22,13,12,4.153846153846154
2016-11-01,East,Technology,Accessories,2859.65,9,7,4.0
2015-11-01,West,Office Supplies,Labels,130.86,4,4,4.75
2016-01-01,West,Furniture,Chairs,2865.50,2,2,3.5
2016-09-01,West,Furniture,Chairs,1038.25,3,3,4.0
2018-12-01,East,Furniture,Bookcases,1024.08,4,4,4.5
2017-10-01,Central,Office Supplies,Fasteners,25.25,1,1,4.0
2015-06-01,South,Technology,Accessories,223.96,1,1,4.0
2018-06-01,East,Office Supplies,Art,101.71,4,4,4.75
2017-10-01,South,Office Supplies,Supplies,33.38,2,2,5.0
2016-10-01,South,Office Supplies,Art,94.27,3,3,2.6666666666666665
2018-05-01,South,Office Supplies,Supplies,29.09,2,2,4.0
2016-04-01,East,Office Supplies,Storage,746.37,4,4,4.75
2015-01-01,West,Office Supplies,Art,56.34,2,2,5.5
2016-07-01,East,Office Supplies,Labels,12.39,1,1,5.0
2017-06-01,West,Technology,Accessories,446.22,3,3,4.0
2018-09-01,South,Office Supplies,Storage,1725.49,10,9,4.4
2017-12-01,Central,Office Supplies,Labels,57.31,2,2,3.0
2018-08-01,East,Technology,Phones,1210.83,3,3,4.666666666666667
2018-07-01,East,Office Supplies,Paper,648.26,16,15,4.4375
2017-12-01,Central,Furniture,Tables,2234.90,2,2,4.0
2015-11-01,West,Office Supplies,Envelopes,45.31,2,2,3.5
2017-07-01,East,Office Supplies,Labels,40.61,2,2,3.0
2018-10-01,East,Technology,Machines,6904.85,2,2,3.0
2015-10-01,South,Furniture,Chairs,1151.22,2,2,3.0
2018-05-01,Central,Office Supplies,Supplies,22.34,1,1,4.0
2016-10-01,Central,Office Supplies,Art,11.46,2,2,6.0
2018-03-01,South,Furniture,Furnishings,61.00,1,1,2.0
2017-02-01,Central,Furniture,Furnishings,89.97,2,2,4.5
2015-12-01,East,Office Supplies,Paper,680.92,9,7,4.777777777777778
2018-09-01,West,Technology,Phones,2949.14,11,11,3.6363636363636362
2018-08-01,West,Technology,Accessories,2603.95,5,4,4.6
2016-05-01,South,Office Supplies,Art,182.97,2,2,2.0
2017-04-01,South,Office Supplies,Appliances,203.92,1,1,4.0
2017-08-01,East,Furniture,Bookcases,163.88,1,1,5.0
2018-06-01,South,Furniture,Chairs,1273.86,3,3,4.666666666666667
2016-06-01,Central,Furniture,Chairs,197.37,1,1,4.0
2015-03-01,West,Office Supplies,Appliances,52.98,1,1,5.0
2018-07-01,East,Office Supplies,Art,423.22,8,6,4.0
2018-08-01,West,Office Supplies,Art,98.88,4,4,2.25
2015-07-01,East,Technology,Copiers,559.99,1,1,2.0
2015-11-01,South,Office Supplies,Paper,929.67,7,6,4.714285714285714
2016-12-01,South,Furniture,Furnishings,433.66,5,5,4.2
2016-07-01,East,Office Supplies,Paper,143.02,6,6,2.0
2016-11-01,East,Furniture,Bookcases,5743.31,5,5,4.2
2017-01-01,Central,Office Supplies,Binders,119.66,3,3,4.333333333333333
2018-04-01,South,Office Supplies,Storage,788.63,2,2,5.0
2018-02-01,Central,Furniture,Tables,480.96,1,1,5.0
2015-07-01,West,Office Supplies,Labels,2.88,1,1,4.0
2018-07-01,West,Technology,Copiers,2879.94,2,2,2.0
2018-09-01,Central,Technology,Copiers,319.98,1,1,3.0
2018-11-01,East,Office Supplies,Envelopes,273.52,4,4,4.75
2017-07-01,Central,Office Supplies,Art,411.43,5,4,4.0
2017-10-01,West,Furniture,Bookcases,211.55,2,2,3.0
2016-04-01,East,Office Supplies,Labels,45.83,2,2,3.5
2018-12-01,Central,Office Supplies,Binders,2229.90,17,15,4.411764705882353
2018-10-01,West,Office Supplies,Art,231.16,6,6,3.8333333333333335
2016-05-01,East,Office Supplies,Binders,54.18,4,3,4.5
2015-01-01,West,Furniture,Tables,333.00,1,1,6.0
2015-12-01,East,Furniture,Chairs,3160.64,6,6,3.8333333333333335
2015-05-01,South,Office Supplies,Storage,83.25,1,1,0.0
2016-03-01,Central,Office Supplies,Envelopes,101.88,1,1,5.0
2017-06-01,South,Technology,Phones,135.95,1,1,7.0
2015-11-01,East,Furniture,Bookcases,5831.63,4,4,4.75
2018-10-01,South,Office Supplies,Art,42.25,4,4,4.5
2016-11-01,South,Office Supplies,Storage,102.40,2,2,5.5
2016-09-01,East,Technology,Machines,629.93,1,1,7.0
2015-04-01,South,Technology,Accessories,867.69,4,3,2.5
2017-08-01,Central,Office Supplies,Art,8.64,1,1,7.0
2017-02-01,East,Office Supplies,Supplies,25.71,1,1,4.0
2015-08-01,East,Office Supplies,Art,43.79,5,5,4.4
2015-10-01,Central,Office Supplies,Appliances,3.16,1,1,4.0
2018-09-01,Central,Technology,Accessories,3810.13,12,10,4.083333333333333
2017-04-01,East,Furniture,Tables,205.18,1,1,6.0
2016-12-01,West,Office Supplies,Labels,67.43,6,6,3.5
2015-02-01,Central,Office Supplies,Binders,84.85,6,5,4.166666666666667
2017-07-01,East,Office Supplies,Binders,1435.17,9,7,3.4444444444444446
2018-02-01,Central,Technology,Accessories,175.88,2,2,5.0
2018-12-01,South,Office Supplies,Storage,1394.75,8,7,4.5
2015-09-01,Central,Office Supplies,Storage,1032.23,4,4,5.0
2015-03-01,South,Office Supplies,Appliances,179.43,2,2,3.0
2015-05-01,East,Furniture,Tables,894.31,2,2,5.0
2016-12-01,South,Technology,Accessories,230.29,4,3,5.0
2018-07-01,Central,Office Supplies,Storage,1401.39,5,5,5.2
2018-06-01,East,Office Supplies,Paper,799.19,9,9,4.222222222222222
2018-09-01,West,Office Supplies,Art,356.66,16,14,4.125
2018-11-01,Central,Office Supplies,Binders,2508.38,15,13,2.6666666666666665
2018-05-01,South,Furniture,Tables,933.26,1,1,5.0
2017-02-01,Central,Office Supplies,Appliances,582.38,2,2,5.0
2016-05-01,Central,Office Supplies,Labels,27.15,3,3,5.0
2015-01-01,Central,Office Supplies,Art,53.26,2,2,5.0
2017-10-01,East,Office Supplies,Art,169.22,4,4,4.5
2018-07-01,South,Furniture,Bookcases,302.94,1,1,6.0
2017-06-01,South,Office Supplies,Art,35.97,1,1,2.0
2015-01-01,West,Office Supplies,Appliances,64.86,1,1,3.0
2017-09-01,Central,Furniture,Tables,902.40,2,2,5.0
2017-07-01,East,Office Supplies,Appliances,1206.50,6,6,3.6666666666666665
2016-02-01,East,Furniture,Chairs,1359.70,2,2,5.5
2015-02-01,East,Technology,Accessories,115.36,1,1,5.0
2015-11-01,East,Furniture,Chairs,1474.13,4,4,4.0
2017-07-01,East,Technology,Copiers,1439.98,1,1,2.0
2018-06-01,South,Furniture,Tables,573.90,2,2,6.0
2018-03-01,East,Office Supplies,Appliances,465.16,1,1,2.0
2018-07-01,West,Furniture,Bookcases,1310.13,2,2,3.0
2018-01-01,West,Furniture,Furnishings,540.09,3,3,2.3333333333333335
2015-09-01,South,Technology,Machines,4134.95,3,3,4.666666666666667
2018-04-01,South,Furniture,Bookcases,585.41,2,2,4.0
2018-05-01,East,Technology,Phones,847.95,2,2,4.5
2015-05-01,East,Office Supplies,Binders,632.27,8,7,5.125
2016-04-01,East,Office Supplies,Binders,219.63,5,4,4.8
2016-08-01,East,Office Supplies,Paper,366.43,6,5,4.166666666666667
2016-01-01,West,Office Supplies,Paper,241.36,3,3,5.333333333333333
2018-03-01,South,Office Supplies,Binders,473.02,7,6,3.0
2016-11-01,South,Furniture,Bookcases,290.35,1,1,7.0
2018-12-01,West,Technology,Copiers,4079.93,2,2,2.5
2018-09-01,Central,Office Supplies,Paper,526.97,15,14,3.7333333333333334
2017-06-01,South,Technology,Machines,787.18,2,2,3.0
2015-09-01,Central,Furniture,Chairs,3208.84,4,4,5.25
2017-09-01,South,Office Supplies,Paper,383.60,7,7,3.5714285714285716
2018-01-01,West,Technology,Accessories,701.57,5,5,3.0
2015-08-01,Central,Furniture,Tables,489.23,1,1,7.0
2017-09-01,East,Office Supplies,Fasteners,16.69,1,1,4.0
2015-04-01,East,Office Supplies,Envelopes,247.84,1,1,2.0
2015-05-01,South,Technology,Phones,1572.60,5,3,5.6
2015-09-01,Central,Office Supplies,Labels,123.76,2,2,5.5
2017-02-01,Central,Office Supplies,Paper,5.18,1,1,4.0
2017-08-01,Central,Office Supplies,Envelopes,81.54,1,1,2.0
2015-07-01,Central,Office Supplies,Appliances,9.83,2,2,4.0
2016-01-01,East,Technology,Machines,1188.00,1,1,7.0
2016-12-01,East,Office Supplies,Labels,35.78,3,3,1.6666666666666667
2016-10-01,South,Office Supplies,Storage,1901.42,5,5,5.2
2016-09-01,West,Office Supplies,Labels,21.24,2,2,4.5
2017-07-01,West,Office Supplies,Envelopes,463.86,2,2,3.5
2016-11-01,Central,Furniture,Bookcases,860.13,2,2,4.5
2015-05-01,South,Technology,Copiers,479.98,1,1,2.0
2015-01-01,East,Furniture,Furnishings,137.04,2,2,2.5
2016-01-01,Central,Office Supplies,Art,7.06,1,1,5.0
2016-08-01,South,Office Supplies,Labels,38.31,3,3,4.0
2017-11-01,South,Office Supplies,Supplies,237.52,2,2,3.0
2016-02-01,West,Furniture,Furnishings,136.92,1,1,1.0
2015-03-01,South,Furniture,Chairs,2483.79,3,3,3.0
2015-08-01,East,Furniture,Furnishings,23.96,2,2,4.0
2018-12-01,West,Office Supplies,Storage,5653.23,18,18,3.888888888888889
2016-04-01,West,Furniture,Chairs,956.16,2,2,5.5
2016-10-01,Central,Furniture,Chairs,2843.40,2,2,2.0
2017-09-01,West,Office Supplies,Fasteners,14.83,2,2,2.5
2016-03-01,East,Office Supplies,Binders,774.22,4,3,3.5
2015-07-01,East,Technology,Accessories,259.96,2,2,3.0
2018-02-01,South,Office Supplies,Appliances,1245.86,1,1,2.0
2016-08-01,Central,Office Supplies,Labels,80.67,3,2,5.333333333333333
2017-12-01,South,Office Supplies,Supplies,1002.18,2,2,2.0
2017-01-01,South,Technology,Accessories,507.47,2,2,3.0
2016-08-01,East,Office Supplies,Supplies,3.49,1,1,4.0
2015-07-01,West,Office Supplies,Binders,585.42,11,11,4.363636363636363
2018-12-01,South,Furniture,Furnishings,209.94,5,5,3.6
2018-09-01,West,Office Supplies,Paper,1272.96,21,19,3.0
2018-11-01,Central,Technology,Phones,3339.36,9,8,4.0
2018-12-01,East,Furniture,Chairs,3902.72,10,9,4.9
2015-01-01,South,Office Supplies,Labels,2.89,1,1,5.0
2016-11-01,South,Office Supplies,Envelopes,123.32,3,2,2.3333333333333335
2017-10-01,West,Technology,Machines,1541.31,2,2,1.5
2015-09-01,South,Technology,Accessories,180.05,4,3,4.5
2018-12-01,Central,Office Supplies,Envelopes,7.28,1,1,3.0
2016-10-01,Central,Office Supplies,Supplies,70.12,1,1,4.0
2017-07-01,South,Office Supplies,Supplies,45.58,1,1,5.0
2017-06-01,East,Office Supplies,Supplies,835.17,1,1,7.0
2017-09-01,Central,Office Supplies,Appliances,988.44,5,5,4.6
2018-09-01,East,Office Supplies,Paper,1449.26,26,20,3.6538461538461537
2018-05-01,Central,Office Supplies,Paper,316.69,9,8,4.0
2016-09-01,Central,Office Supplies,Art,195.45,4,4,3.75
2018-01-01,West,Office Supplies,Storage,1933.13,7,5,2.857142857142857
2018-01-01,West,Furniture,Tables,1292.65,2,2,1.5
2018-08-01,South,Furniture,Bookcases,145.74,1,1,4.0
2018-12-01,South,Office Supplies,Art,211.61,8,8,4.375
2018-05-01,South,Technology,Phones,1635.84,5,4,2.4
2018-02-01,East,Technology,Phones,360.01,4,4,4.25
2018-07-01,East,Technology,Copiers,599.97,1,1,5.0
2016-04-01,Central,Office Supplies,Storage,244.85,2,2,5.5
2017-11-01,Central,Technology,Phones,2900.63,9,9,4.0
2015-11-01,West,Technology,Phones,7314.61,14,14,4.571428571428571
2016-08-01,West,Office Supplies,Paper,609.97,7,5,4.0
2016-12-01,East,Office Supplies,Paper,1104.77,18,14,3.4444444444444446
2016-12-01,Central,Office Supplies,Paper,847.93,8,7,3.875
2015-07-01,East,Office Supplies,Paper,292.10,3,3,4.666666666666667
2016-04-01,Central,Office Supplies,Appliances,1626.87,7,7,4.285714285714286
2015-06-01,West,Technology,Phones,2222.33,4,3,4.25
2017-12-01,West,Office Supplies,Binders,1839.66,23,16,4.130434782608695
2016-06-01,East,Technology,Accessories,387.96,2,2,5.0
2018-10-01,Central,Furniture,Tables,2089.89,7,6,2.2857142857142856
2018-05-01,Central,Office Supplies,Art,237.22,6,4,3.0
2017-11-01,South,Office Supplies,Art,77.07,4,3,4.25
2015-04-01,Central,Office Supplies,Binders,40.20,1,1,2.0
2016-07-01,West,Technology,Accessories,729.89,2,2,2.5
2018-04-01,East,Furniture,Bookcases,242.35,1,1,5.0
2016-08-01,South,Office Supplies,Paper,313.08,3,1,5.0
2016-03-01,Central,Office Supplies,Storage,189.99,2,2,4.0
2015-11-01,Central,Office Supplies,Storage,2858.75,11,9,4.363636363636363
2016-04-01,Central,Office Supplies,Paper,140.98,3,3,4.333333333333333
2018-04-01,East,Office Supplies,Supplies,417.98,3,3,3.0
2018-10-01,Central,Technology,Accessories,957.23,6,5,4.5
2015-06-01,East,Office Supplies,Storage,1676.88,1,1,5.0
2017-11-01,South,Furniture,Chairs,1122.59,3,3,3.0
2017-03-01,East,Office Supplies,Envelopes,229.24,2,2,2.0
2018-04-01,West,Technology,Machines,7349.97,2,2,4.0
2017-11-01,Central,Furniture,Chairs,1313.46,5,5,5.6
2018-09-01,East,Technology,Machines,733.76,3,2,2.6666666666666665
2017-07-01,South,Office Supplies,Binders,265.71,10,7,3.3
2015-08-01,South,Furniture,Bookcases,794.28,2,2,4.5
2017-12-01,Central,Furniture,Furnishings,333.44,6,6,4.166666666666667
2016-02-01,Central,Technology,Accessories,809.20,5,5,4.2
2016-12-01,Central,Office Supplies,Supplies,5.89,1,1,4.0
2016-08-01,West,Technology,Accessories,319.39,3,2,4.666666666666667
2017-03-01,Central,Technology,Accessories,1403.11,4,4,2.75
2017-01-01,South,Office Supplies,Paper,89.57,1,1,6.0
2017-06-01,South,Office Supplies,Storage,191.88,1,1,4.0
2018-04-01,South,Office Supplies,Binders,2746.66,7,7,4.0
